random,itemtype,format,title,objectid,relative_link,nexttitle,nextobjectid,nextlink,prevtitle,prevobjectid,prevlink
380,trailcam,image/jpg,Doe at Night,salmopriest-criticalhabitatsnowytopsouthbasin-imag0011,mapitem.html?id=salmopriest-criticalhabitatsnowytopsouthbasin-imag0011,Camera Retrieval ,salmopriest-criticalhabitat-salmodivide535rim-imag0182,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0182,Camera Assessment ,salmopriest-criticalhabitat-salmodivide535rim-imag0011,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0011
13485,trailcam,image/jpg,Camera Retrieval ,salmopriest-criticalhabitat-salmodivide535rim-imag0182,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0182,Caribou Drop,BRW2C6FC95F0646_000314,mapitem.html?id=BRW2C6FC95F0646_000314,Doe at Night,salmopriest-criticalhabitatsnowytopsouthbasin-imag0011,mapitem.html?id=salmopriest-criticalhabitatsnowytopsouthbasin-imag0011
13034,contextual,image/jpg,Caribou Drop,BRW2C6FC95F0646_000314,mapitem.html?id=BRW2C6FC95F0646_000314,Cinnamon Bear Departs,ballcreek-cedarrub-cinnamonbeardeparts,mapitem.html?id=ballcreek-cedarrub-cinnamonbeardeparts,Camera Retrieval ,salmopriest-criticalhabitat-salmodivide535rim-imag0182,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0182
19287,trailcam,video/avi,Cinnamon Bear Departs,ballcreek-cedarrub-cinnamonbeardeparts,mapitem.html?id=ballcreek-cedarrub-cinnamonbeardeparts,Wind Trigger,salmopriest-criticalhabitat-salmodivide535rim-imag0139,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0139,Caribou Drop,BRW2C6FC95F0646_000314,mapitem.html?id=BRW2C6FC95F0646_000314
7802,trailcam,image/jpg,Wind Trigger,salmopriest-criticalhabitat-salmodivide535rim-imag0139,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0139,Turn Down Your Volume,ballcreek-smallclearing-bullmoosefogscam,mapitem.html?id=ballcreek-smallclearing-bullmoosefogscam,Cinnamon Bear Departs,ballcreek-cedarrub-cinnamonbeardeparts,mapitem.html?id=ballcreek-cedarrub-cinnamonbeardeparts
6005,trailcam,video/avi,Turn Down Your Volume,ballcreek-smallclearing-bullmoosefogscam,mapitem.html?id=ballcreek-smallclearing-bullmoosefogscam,Camera Setup,salmopriest-criticalhabitat-salmodivide535rim-imag0005,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0005,Wind Trigger,salmopriest-criticalhabitat-salmodivide535rim-imag0139,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0139
5940,trailcam,image/jpg,Camera Setup,salmopriest-criticalhabitat-salmodivide535rim-imag0005,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0005,Beautiful Day in the Critical Habitat,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257,Turn Down Your Volume,ballcreek-smallclearing-bullmoosefogscam,mapitem.html?id=ballcreek-smallclearing-bullmoosefogscam
16883,trailcam,image/jpg,Beautiful Day in the Critical Habitat,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257,Wind Gap,salmopriest-criticalhabitat-bearpipe-imag0344,mapitem.html?id=salmopriest-criticalhabitat-bearpipe-imag0344,Camera Setup,salmopriest-criticalhabitat-salmodivide535rim-imag0005,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0005
11978,trailcam,video/mp4,Wind Gap,salmopriest-criticalhabitat-bearpipe-imag0344,mapitem.html?id=salmopriest-criticalhabitat-bearpipe-imag0344,Wind Trigger,salmopriest-criticalhabitat-salmodivide535rim-imag0156,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0156,Beautiful Day in the Critical Habitat,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0257
14948,trailcam,image/jpg,Wind Trigger,salmopriest-criticalhabitat-salmodivide535rim-imag0156,mapitem.html?id=salmopriest-criticalhabitat-salmodivide535rim-imag0156,Morning Glare,salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0296,mapitem.html?id=salmopriest-criticalhabitat-littlesnowyridgefunnel-imag0296,Wind Gap,salmopriest-criticalhabitat-bearpipe-imag0344,mapitem.html?id=salmopriest-criticalhabitat-bearpipe-imag0344
