otherobjectid,objectid,filename,youtubeid,itemtype,format,title,latitude,longitude,date,date is approximate?,encounterdate,description,subject,location,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
storying244,salmopriest-criticalhabitat-salmodivide535rim-imag0122,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0122.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0122.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0122_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0122_th.jpg
storying245,salmopriest-criticalhabitat-salmodivide535rim-imag0123,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0123.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0123.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0123_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0123_th.jpg
storying246,salmopriest-criticalhabitat-salmodivide535rim-imag0124,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0124.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0124.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0124_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0124_th.jpg
storying247,salmopriest-criticalhabitat-salmodivide535rim-imag0125,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0125.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0125.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0125_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0125_th.jpg
storying248,salmopriest-criticalhabitat-salmodivide535rim-imag0126,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0126.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0126.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0126_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0126_th.jpg
storying249,salmopriest-criticalhabitat-salmodivide535rim-imag0127,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0127.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0127.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0127_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0127_th.jpg
storying250,salmopriest-criticalhabitat-salmodivide535rim-imag0128,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0128.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0128.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0128_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0128_th.jpg
storying251,salmopriest-criticalhabitat-salmodivide535rim-imag0129,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0129.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0129.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0129_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0129_th.jpg
storying252,salmopriest-criticalhabitat-salmodivide535rim-imag0130,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0130.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0130.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0130_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0130_th.jpg
storying253,salmopriest-criticalhabitat-salmodivide535rim-imag0131,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0131.jpg,,trailcam,image/jpg,Wind Trigger,48.952513,-117.014216,,,,,,Salmo-Priest Critical Habitat;SalmonDivide #535 Rim,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/salmopriest-criticalhabitat-salmodivide535rim-imag0131.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/salmopriest-criticalhabitat-salmodivide535rim-imag0131_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/salmopriest-criticalhabitat-salmodivide535rim-imag0131_th.jpg
