title,absolutelink,relative_link,nexttitle,nextlink,prevtitle,prevlink
Mooseinvestigatestree,http://localhost:4000/mapitem.html?id=ballcreek-cedarrub-mooseinvestigatestree,/mapitem.html?id=ballcreek-cedarrub-mooseinvestigatestree,Blackbeargaze,/mapitem.html?id=ballcreek-smallclearing-blackbeargaze,Moosedeparture,/mapitem.html?id=ballcreek-cedarrub-moosedeparture
Blackbeargaze,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-blackbeargaze,/mapitem.html?id=ballcreek-smallclearing-blackbeargaze,Bullheadinfogblur,/mapitem.html?id=ballcreek-smallclearing-bullheadinfogblur,Mooseinvestigatestree,/mapitem.html?id=ballcreek-cedarrub-mooseinvestigatestree
Bullheadinfogblur,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullheadinfogblur,/mapitem.html?id=ballcreek-smallclearing-bullheadinfogblur,Bullmooseatnight,/mapitem.html?id=ballcreek-smallclearing-bullmooseatnight,Blackbeargaze,/mapitem.html?id=ballcreek-smallclearing-blackbeargaze
Bullmooseatnight,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullmooseatnight,/mapitem.html?id=ballcreek-smallclearing-bullmooseatnight,Bullmoosebuttnight,/mapitem.html?id=ballcreek-smallclearing-bullmoosebuttnight,Bullheadinfogblur,/mapitem.html?id=ballcreek-smallclearing-bullheadinfogblur
Bullmoosebuttnight,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullmoosebuttnight,/mapitem.html?id=ballcreek-smallclearing-bullmoosebuttnight,Bullmoosequarteringaway,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringaway,Bullmooseatnight,/mapitem.html?id=ballcreek-smallclearing-bullmooseatnight
Bullmoosequarteringaway,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringaway,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringaway,Bullmoosequarteringinrightthirdofscreen,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen,Bullmoosebuttnight,/mapitem.html?id=ballcreek-smallclearing-bullmoosebuttnight
Bullmoosequarteringinrightthirdofscreen,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen,Bullmooseshoulderprofile,/mapitem.html?id=ballcreek-smallclearing-bullmooseshoulderprofile,Bullmoosequarteringaway,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringaway
Bullmooseshoulderprofile,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-bullmooseshoulderprofile,/mapitem.html?id=ballcreek-smallclearing-bullmooseshoulderprofile,Cowmooseapproach,/mapitem.html?id=ballcreek-smallclearing-cowmooseapproach,Bullmoosequarteringinrightthirdofscreen,/mapitem.html?id=ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen
Cowmooseapproach,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-cowmooseapproach,/mapitem.html?id=ballcreek-smallclearing-cowmooseapproach,Cowmooselookingatcam,/mapitem.html?id=ballcreek-smallclearing-cowmooselookingatcam,Bullmooseshoulderprofile,/mapitem.html?id=ballcreek-smallclearing-bullmooseshoulderprofile
Cowmooselookingatcam,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-cowmooselookingatcam,/mapitem.html?id=ballcreek-smallclearing-cowmooselookingatcam,Cowmooselooksatcam,/mapitem.html?id=ballcreek-smallclearing-cowmooselooksatcam,Cowmooseapproach,/mapitem.html?id=ballcreek-smallclearing-cowmooseapproach
Cowmooselooksatcam,http://localhost:4000/mapitem.html?id=ballcreek-smallclearing-cowmooselooksatcam,/mapitem.html?id=ballcreek-smallclearing-cowmooselooksatcam,Cowmooserightblurry,/mapitem.html?id=ballcreek-smallclearing-cowmooserightblurry,Cowmooselookingatcam,/mapitem.html?id=ballcreek-smallclearing-cowmooselookingatcam
