title,absolutelink,relative_link,nexttitle,nextlink,prevtitle,prevlink
Bullmooseatnight,http://localhost:4000/items/ballcreek-smallclearing-bullmooseatnight.html,/items/ballcreek-smallclearing-bullmooseatnight.html,Bullmoosebuttnight,/items/ballcreek-smallclearing-bullmoosebuttnight.html,Bullheadinfogblur,/items/ballcreek-smallclearing-bullheadinfogblur.html
Bullmoosebuttnight,http://localhost:4000/items/ballcreek-smallclearing-bullmoosebuttnight.html,/items/ballcreek-smallclearing-bullmoosebuttnight.html,Bullmoosequarteringaway,/items/ballcreek-smallclearing-bullmoosequarteringaway.html,Bullmooseatnight,/items/ballcreek-smallclearing-bullmooseatnight.html
Bullmoosequarteringaway,http://localhost:4000/items/ballcreek-smallclearing-bullmoosequarteringaway.html,/items/ballcreek-smallclearing-bullmoosequarteringaway.html,Bullmoosequarteringinrightthirdofscreen,/items/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen.html,Bullmoosebuttnight,/items/ballcreek-smallclearing-bullmoosebuttnight.html
Bullmoosequarteringinrightthirdofscreen,http://localhost:4000/items/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen.html,/items/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen.html,Bullmooseshoulderprofile,/items/ballcreek-smallclearing-bullmooseshoulderprofile.html,Bullmoosequarteringaway,/items/ballcreek-smallclearing-bullmoosequarteringaway.html
Bullmooseshoulderprofile,http://localhost:4000/items/ballcreek-smallclearing-bullmooseshoulderprofile.html,/items/ballcreek-smallclearing-bullmooseshoulderprofile.html,Cowmooseapproach,/items/ballcreek-smallclearing-cowmooseapproach.html,Bullmoosequarteringinrightthirdofscreen,/items/ballcreek-smallclearing-bullmoosequarteringinrightthirdofscreen.html
Cowmooseapproach,http://localhost:4000/items/ballcreek-smallclearing-cowmooseapproach.html,/items/ballcreek-smallclearing-cowmooseapproach.html,Cowmooselookingatcam,/items/ballcreek-smallclearing-cowmooselookingatcam.html,Bullmooseshoulderprofile,/items/ballcreek-smallclearing-bullmooseshoulderprofile.html
Cowmooselookingatcam,http://localhost:4000/items/ballcreek-smallclearing-cowmooselookingatcam.html,/items/ballcreek-smallclearing-cowmooselookingatcam.html,Cowmooselooksatcam,/items/ballcreek-smallclearing-cowmooselooksatcam.html,Cowmooseapproach,/items/ballcreek-smallclearing-cowmooseapproach.html
Cowmooselooksatcam,http://localhost:4000/items/ballcreek-smallclearing-cowmooselooksatcam.html,/items/ballcreek-smallclearing-cowmooselooksatcam.html,Cowmooserightblurry,/items/ballcreek-smallclearing-cowmooserightblurry.html,Cowmooselookingatcam,/items/ballcreek-smallclearing-cowmooselookingatcam.html
Cowmooserightblurry,http://localhost:4000/items/ballcreek-smallclearing-cowmooserightblurry.html,/items/ballcreek-smallclearing-cowmooserightblurry.html,Deckerselfie,/items/ballcreek-smallclearing-deckerselfie.html,Cowmooselooksatcam,/items/ballcreek-smallclearing-cowmooselooksatcam.html
Deckerselfie,http://localhost:4000/items/ballcreek-smallclearing-deckerselfie.html,/items/ballcreek-smallclearing-deckerselfie.html,Moosewalksawaywithraindropsoncam,/items/ballcreek-smallclearing-moosewalksawaywithraindropsoncam.html,Cowmooserightblurry,/items/ballcreek-smallclearing-cowmooserightblurry.html
